ID,Name,Poster,NumTracks,TopTracks,Likes,Reposts,PostedTime,Genre,Length
P1,Gentle Dreams 🛏️ - An Indie/Chill/Electronic Playlist,U1,18,"['T1', 'T2', 'T3', 'T4', 'T5', 'T6', 'T7', 'T8', 'T9', 'T10']",121377,9211,13 May 2017,indie,1:09:50
P2,Relaxing Sunday Mornings ☕ - An Indie/Folk/Pop Playlist | Vol. 1,U1,16,"['T11', 'T12', 'T13', 'T14', 'T15', 'T16', 'T17', 'T18', 'T19', 'T20']",74566,4554,15 April 2017,indie,55:27
P3,Indie,U22,522,"['T21', 'T22', 'T23', 'T24', 'T25', 'T26', 'T27', 'T28', 'T29', 'T30']",2236,149,22 June 2015,indie,2:13:41
P4,Indie,U32,379,"['T31', 'T32', 'T33', 'T34', 'T35', 'T36', 'T37', 'T38', 'T39', 'T40']",1159,180,1 August 2014,indie,2:33:29
P5,indie ♥,U43,291,"['T41', 'T42', 'T43', 'T44', 'T45', 'T46', 'T47', 'T48', 'T49', 'T50']",2300,685,21 January 2013,indie,2:25:35
P6,Indie,U54,413,"['T51', 'T52', 'T53', 'T54', 'T55', 'T56', 'T57', 'T58', 'T59', 'T60']",42,2,14 November 2020,indie,3:17:46
P7,Indie,U63,387,"['T61', 'T62', 'T63', 'T64', 'T65', 'T66', 'T67', 'T68', 'T69', 'T70']",156,7,17 March 2015,indie,2:17:46
P8,indie,U70,475,"['T71', 'T72', 'T73', 'T74', 'T75', 'T76', 'T77', 'T78', 'T79', 'T80']",285,18,21 March 2016,indie,2:03:16
P9,indie&...,U81,499,"['T81', 'T82', 'T83', 'T84', 'T85', 'T86', 'T87', 'T88', 'T89', 'T90']",469,86,4 December 2012,indie,3:34:00
P10,Indie,U89,489,"['T91', 'T51', 'T92', 'T93', 'T94', 'T95', 'T96', 'T97', 'T98', 'T99']",27,3,21 July 2018,indie,3:29:34
P11,Indie,U95,495,"['T100', 'T101', 'T102', 'T103', 'T104', 'T105', 'T106', 'T107', 'T108', 'T109']",50,1,13 May 2020,indie,1:37:08
P12,INDIE,U106,443,"['T110', 'T111', 'T112', 'T113', 'T114', 'T115', 'T116', 'T117', 'T118', 'T119']",211,15,29 July 2014,indie,3:02:18
P13,Indie,U117,457,"['T120', 'T121', 'T122', 'T123', 'T124', 'T125', 'T126', 'T127', 'T128', 'T129']",70,5,12 November 2016,indie,2:48:07
P14,Chill Tracks (Winter 2015),U127,21,"['T130', 'T131', 'T132', 'T133', 'T134', 'T135', 'T136', 'T137', 'T138', 'T139']",19409,1883,23 November 2015,indie,1:25:36
P15,Indie,U134,440,"['T140', 'T141', 'T142', 'T143', 'T144', 'T145', 'T146', 'T147', 'T148', 'T149']",138,10,28 March 2017,indie,26:43:49
P16,indie,U143,417,"['T150', 'T151', 'T152', 'T153', 'T154', 'T155', 'T156', 'T157', 'T158', 'T159']",168,16,9 October 2017,indie,1:23:35
P17,Indie,U150,457,"['T160', 'T161', 'T162', 'T163', 'T164', 'T165', 'T166', 'T167', 'T168', 'T169']",23,2,5 August 2017,indie,32:23:02
P18,indie,U157,29,"['T61', 'T170', 'T171', 'T172', 'T173', 'T174', 'T175', 'T176', 'T177', 'T178']",283,45,4 July 2013,indie,1:30:52
P19,INDIE,U165,5,"['T179', 'T180', 'T181', 'T182', 'T183']",1902,83,18 July 2022,indie,14:35
P20,indie,U167,470,"['T184', 'T185', 'T186', 'T44', 'T187', 'T188', 'T189', 'T190', 'T191', 'T192']",108,11,4 April 2016,indie,1:31:42
P21,Indie New Arrivals: Stitches,U174,112,"['T193', 'T194', 'T195', 'T196', 'T197', 'T198', 'T199', 'T200', 'T201', 'T202']",12866,519,13 March 2019,indie,2:37:46
P22,Indie,U185,404,"['T203', 'T204', 'T205', 'T206', 'T207', 'T208', 'T209', 'T210', 'T211', 'T212']",7,2,2 July 2015,indie,3:34:59
P23,Indie,U193,450,"['T213', 'T214', 'T215', 'T216', 'T217', 'T218', 'T219', 'T220', 'T221', 'T222']",20,1,9 September 2015,indie,2:46:47
P24,indie,U199,493,"['T223', 'T224', 'T225', 'T226', 'T227', 'T228', 'T229', 'T230', 'T231', 'T232']",9,19,23 February 2017,indie,3:05:28
P25,Indie,U209,494,"['T233', 'T234', 'T235', 'T236', 'T237', 'T238', 'T239', 'T240', 'T241', 'T242']",3,85,16 April 2018,indie,2:54:38
P26,Indie,U214,484,"['T243', 'T244', 'T245', 'T246', 'T247', 'T248', 'T249', 'T250', 'T251', 'T252']",18,2,26 February 2017,indie,2:48:48
P27,indie,U220,497,"['T253', 'T254', 'T255', 'T256', 'T257', 'T258', 'T259', 'T260', 'T261', 'T262']",3,1,23 January 2016,indie,30:49:22
P28,Indie,U231,470,"['T263', 'T264', 'T265', 'T266', 'T267', 'T268', 'T269', 'T270', 'T271', 'T272']",3,67,2 December 2017,indie,2:44:48
P29,indie,U240,438,"['T273', 'T274', 'T275', 'T276', 'T277', 'T278', 'T279', 'T280', 'T281', 'T282']",23,3,10 July 2016,indie,2:46:51
P30,indie,U248,414,"['T283', 'T284', 'T285', 'T286', 'T287', 'T288', 'T289', 'T290', 'T291', 'T292']",27,3,20 November 2016,indie,3:23:12
P31,Indie,U257,459,"['T293', 'T294', 'T295', 'T296', 'T297', 'T298', 'T299', 'T300', 'T301', 'T302']",9,2,2 May 2017,indie,2:43:17
P32,Indie,U268,414,"['T303', 'T304', 'T305', 'T306', 'T307', 'T308', 'T309', 'T310', 'T311', 'T312']",18,1,4 February 2016,indie,2:56:23
P33,indie,U275,328,"['T313', 'T314', 'T315', 'T316', 'T317', 'T318', 'T319', 'T320', 'T321', 'T322']",19,2,14 May 2017,indie,2:48:42
P34,indie,U286,341,"['T57', 'T323', 'T324', 'T325', 'T51', 'T326', 'T327', 'T328', 'T329', 'T330']",3,1,28 January 2018,indie,2:50:44
P35,indie,U292,313,"['T331', 'T332', 'T333', 'T334', 'T335', 'T336', 'T337', 'T338', 'T339', 'T340']",18,1,17 August 2015,indie,2:40:27
P36,Indie,U303,323,"['T341', 'T109', 'T342', 'T343', 'T344', 'T345', 'T346', 'T347', 'T348', 'T349']",80,7,16 January 2018,indie,2:40:29
P37,indie,U306,420,"['T350', 'T351', 'T352', 'T353', 'T354', 'T355', 'T356', 'T357', 'T358', 'T359']",4,4,14 August 2018,indie,2:43:22
P38,Dawn of Winter 2015,U127,11,"['T360', 'T361', 'T362', 'T137', 'T363', 'T364', 'T365', 'T366', 'T367', 'T368']",12950,1579,10 November 2015,indie,42:51
P39,INDIE,U320,446,"['T369', 'T370', 'T371', 'T372', 'T373', 'T374', 'T375', 'T376', 'T377', 'T378']",3,74,8 April 2019,indie,2:51:02
P40,Indie,U326,457,"['T379', 'T380', 'T381', 'T382', 'T383', 'T363', 'T384', 'T385', 'T386', 'T387']",17,2,5 January 2015,indie,2:52:25
P41,indie,U334,339,"['T388', 'T389', 'T390', 'T391', 'T98', 'T324', 'T392', 'T393', 'T394', 'T395']",4,1,18 November 2017,indie,4:28:41
P42,Indie,U337,436,"['T396', 'T397', 'T398', 'T399', 'T400', 'T401', 'T402', 'T403', 'T404', 'T405']",4,None,23 May 2020,indie,2:11:02
P43,Indie,U342,183,"['T406', 'T407', 'T408', 'T409', 'T290', 'T410', 'T411', 'T412', 'T413', 'T414']",17,2,31 May 2017,indie,2:42:13
P44,indie,U347,467,"['T415', 'T416', 'T417', 'T418', 'T419', 'T420', 'T421', 'T422', 'T423', 'T424']",7,7,31 December 2018,indie,2:53:14
