ID,Name,Poster,Plays,Likes,Reposts,PostedTime,Tags,Length,NumComments
T1,Locked Up,U4190,1033050,15590,421,1 January 2005,R & B,None,84
T2,Acsdjmix,U8577,120,1,3,22 April 2015,yujoooooo,1:07:21,None
T3,Ego Death,U10921,1882,48,9,17 June 2018,Hybrid,4:18,6
T4,Dabin x Fytch - Altitude,U4868,324493,7536,1018,28 September 2018,Electronic,3:27,85
T5,earned it,U3052,42037,805,71,28 July 2018,lofi,3:33,11
T6,LOST IN MUSIC (DSD Balearic Mix),U2800,39261,1440,381,30 October 2018,Disco,7:40,34
T7,RUN DMT - ROMANTIC (DREAMS CASSETTE),U3133,914343,17202,1702,11 April 2013,ACID SOUL,2:25,114
T8,Whole Lotta Money - Remix (The Frenchies Remix),U6648,549036,8054,202,3 November 2021,House,6:41,135
T9,"HammAli & Navai - Хочешь, я к тебе приеду (Mike Tsoff & German Avny Remix)",U5541,363654,3332,109,9 March 2018,House,5:03,69
T10,At Night They Came Upon Us,U10381,2941,90,2,2 April 2021,Metal,6:48,1
T11,Cinema Paradiso |  Giuseppe Tornatore  |  Ennio Morricone,U7672,588669,10221,1818,24 April 2010,None,4:55,174
T12,tupac-Do For Love,U11072,3793885,63605,3341,4 October 2013,tupac,4:44,374
T13,"Swedish House Mafia, The Weeknd - Moth To A Flame",U10448,1575996,26778,965,22 October 2021,Dance,3:54,431
T14,None,U2045,18555022,284813,18450,Posted on 26 June 2015,Soul,4:13,"3,747"
T15,Everyday - Ariana Grande ft. Future | Piano Version | With Vocals (Acoustic),U9065,3373869,49141,1689,15 October 2016,Pop,3:25,326
T16,Sometime Around Midnight,U2563,90710,1247,53,1 January 2009,Alternative,None,11
T17,Linkin Park and Steve Aoki - A Light That Never Comes (Vicetone Remix),U5949,6220847,74529,14403,27 November 2013,Vicetone,3:51,"2,142"
T18,MUNGKIN - POTRET ( ACOUSTIC COVER BY REGITA ECHA )Cantik,U251,172472,2631,33,8 March 2020,Pop,4:03,12
T19,She hit me up!,U8351,409702,3836,122,20 November 2017,lofi hip hop,4:21,49
T20,Slync - Sledge Ride [Diggin Disco Deep #4],U9966,4155,160,32,15 September 2016,Nu Disco,5:59,8
T21,FALL BACK [PROD. NICK MIRA],U10536,12171622,158669,3389,12 April 2017,JuiceWRLD,4:18,"3,796"
T22,"Yang Patah Tumbuh, yang Hilang Berganti",U3300,10205057,117277,3452,25 January 2016,bandaneira,6:33,"2,057"
T23,The Silver - Kepastian (Feat. Fiersa Besari),U1835,173943,1356,66,15 April 2016,Pop,3:48,7
T24,Someday - Ce Ce Rogers - SanFranDisko Re - Rub,U10943,102569,2489,199,13 June 2016,Deep House,6:27,56
T25,Secrets (Acoustic),U5784,1208699,13359,4000,20 August 2011,Pop,2:47,661
T26,Hear or Anywhere,U7849,11892,152,16,24 January 2013,Rock,4:12,3
T27,None,U4095,720117,10602,2129,Posted on 21 October 2013,None,7:04,395
T28,february,U3940,821816,9845,438,13 January 2017,None,2:08,104
T29,Premiere : Riton & Kah - Lo Fake ID,U7059,4781062,90653,3458,5 January 2018,Electronic,4:06,833
T30,"808 Trap | 2 GB Of Conctruction Kits, Drums, Melodies & Presets!",U9901,16820,219,112,24 June 2018,Trap,4:41,4
T31,Motley Crue -- Same Ol Situation (SOS) -- Guitar Cover,U4385,131098,1289,51,27 July 2013,Rock,4:18,4
T32,Creep (Ft. Daniela Andrade),U3299,222666,3584,736,26 July 2015,Summer House,3:29,294
T33,"Omarion - Post To Be (Hadiibz Remix) [feat. Fetty Wap, Chris Brown, Jhene Aiko]",U6983,53680474,651002,34858,23 February 2015,Fetty Wap,3:49,"4,597"
T34,To Die For (Acoustic),U1480,84274,1627,107,13 March 2020,Pop,3:20,32
T35,Поезда,U7553,4320669,58270,851,17 April 2019,Pop,3:34,491
T36,BulletsVision - OutOfControl,U3833,1362,23,344799,1 February 2014,BulletsVision,3:07,None
T37,P!nk - Just Give Me A Reason ft. Nate Ruess (Cover by Jason Chen & Megan Nicole),U4323,835692,5903,778,17 April 2013,None,4:09,200
T38,Just Give Me A Reason (Acapella),U9011,1080172,17834,6556,29 May 2013,"Acapella, ACA-AWESOME",3:38,"2,079"
T39,smooth,U10747,804685,13950,1732,30 January 2015,Groove,2:02,239
